sender,sender_type,sender_id,timestamp,duration,ended_on,image,response,time_commit,time_end,time_render,time_run,time_show,time_switch
,html.Screen,22,2026-04-30T11:33:02.738Z,22530.600000000093,response,images/edad_x_4.png,"{""credibility"":""1"",""quality"":""1"",""correctness"":""3"",""interest"":""3""}",1460656.6,1460656.5,1438109.31,1438105.9000000001,1438125.9,1460658.4
,html.Screen,23,2026-04-30T11:34:21.850Z,79110.20000000019,response,images/https___www_losandes_com_ar_sociedad_esi_y_riesgos_digitales_el_plan_oficial_fortalecer_estrategias_las_escuelas_mendoza_n5987124.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",1539768.8,1539768.6,1460658.4,1460656.8,1460658.4,1539771.9
,html.Screen,24,2026-04-30T11:34:37.490Z,15636.600000000093,response,images/gemini_1.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""2""}",1555408.7,1555408.5,1539771.884,1539768.9000000001,1539771.9,1555437.8
,html.Screen,25,2026-04-30T11:35:10.514Z,32995,response,images/prueba.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",1588432.9000000001,1588432.8,1555421.28,1555408.9000000001,1555437.8,1588436.5
,html.Screen,26,2026-04-30T11:36:38.978Z,88460.19999999995,response,images/https___lt3_com_ar_772830_2_.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",1676896.9000000001,1676896.7,1588419.964,1588433,1588436.5,1676916.3
,html.Screen,27,2026-04-30T11:36:57.938Z,18940.5,response,images/derechos_x_3.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",1695856.9000000001,1695856.8,1676899.756,1676897,1676916.3,1695865.6
,html.Screen,28,2026-04-30T11:37:41.851Z,43903.5,response,images/chatgpt_3.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""2""}",1739769.2,1739769.1,1695848.978,1695857.1,1695865.6,1739780.5
,html.Screen,29,2026-04-30T11:38:52.331Z,70469.1000000001,response,images/riesgos_x_4.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",1810249.7,1810249.6,1739763.902,1739769.3,1739780.5,1810261
,html.Screen,30,2026-04-30T11:39:38.531Z,46188.5,response,images/gemini_2.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""2""}",1856449.7,1856449.5,1810244.414,1810249.8,1810261,1856459.1
,html.Screen,31,2026-04-30T11:40:03.843Z,25302.699999999953,response,images/derechos_x_1.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",1881762,1881761.8,1856442.558,1856449.8,1856459.1,1881774.8
,html.Screen,32,2026-04-30T11:41:13.572Z,69715.6000000001,response,images/https___revistaraya_com_facebook_adiccion_y_dopamina_por_que_un_jurado_condeno_el_diseno_de_las_redes_sociales_html.png,"{""credibility"":""4"",""quality"":""5"",""correctness"":""5"",""interest"":""4""}",1951490.6,1951490.4000000001,1881758.22,1881762.1,1881774.8,1951505.4
,html.Screen,33,2026-04-30T11:41:34.316Z,20728.800000000047,response,images/riesgos_x_3.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",1972234.3,1972234.2,1951488.772,1951490.7,1951505.4,1972237.942
,html.Screen,34,2026-04-30T11:42:13.036Z,38716.757999999914,response,images/https___www_eldia_es_canarias_2026_04_09_conductas_suicidas_menores_aumentan_25_violencia_tecnologia_128929660_amp_html.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""3"",""interest"":""4""}",2010954.9000000001,2010954.7,1972237.942,1972234.4000000001,1972237.942,2010969.7
,html.Screen,35,2026-04-30T11:43:29.509Z,76457.6000000001,response,images/https___vilasradio_cl_clinica_u_de_los_andes_alerta_por_peligroso_reto_viral_ingestion_de_imanes_deja_menores_con_graves_lesiones_en_chile_.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""3"",""interest"":""4""}",2087427.4000000001,2087427.3,2010953.062,2010955.0999999999,2010969.7,2087433.2
,html.Screen,36,2026-04-30T11:43:55.029Z,25514.199999999953,response,images/edad_x_2.png,"{""credibility"":""1"",""quality"":""2"",""correctness"":""3"",""interest"":""3""}",2112947.5999999996,2112947.4,2087416.67,2087427.5999999999,2087433.2,2112948.98
,html.Screen,37,2026-04-30T11:44:30.821Z,35790.52000000002,response,images/https___agn_gt_pgn_impulsa_campana_no_caigas_en_las_redes_sobre_riesgos_digitales_para_la_ninez_y_adolescencia_.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",2148739.5999999996,2148739.5,2112948.98,2112947.6999999997,2112948.98,2148764.1
,html.Screen,38,2026-04-30T11:45:12.357Z,41511.69999999972,response,images/riesgos_x_1.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""4"",""interest"":""2""}",2190276,2190275.8,2148747.544,2148739.6999999997,2148764.1,2190295.8
,html.Screen,39,2026-04-30T11:45:36.278Z,23900.799999999814,response,images/derechos_x_5.png,"{""credibility"":""1"",""quality"":""1"",""correctness"":""3"",""interest"":""2""}",2214196.6999999997,2214196.5999999996,2190279.216,2190276.0999999996,2190295.8,2214211.5
,html.Screen,40,2026-04-30T11:46:06.150Z,29857.299999999814,response,images/https___kchcomunicacion_com_2026_04_09_comision_impulsa_reformas_para_proteger_a_ninas_ninos_y_adolescentes_frente_a_riesgos_de_plataformas_digitales_.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",2244069.0999999996,2244068.8,2214194.926,2214196.9,2214211.5,2244077
,html.Screen,41,2026-04-30T11:46:36.439Z,30280.099999999627,response,images/https___www_politicargentina_com_notas_202604_72684_el_senado_frances_avanza_con_un_proyecto_para_prohibir_redes_sociales_a_menores_de_15_anos_html.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",2274357.1999999997,2274357.0999999996,2244060.38,2244069.1999999997,2244077,
