sender,sender_type,sender_id,timestamp,duration,ended_on,image,response,time_commit,time_end,time_render,time_run,time_show,time_switch
,html.Screen,21,2026-04-29T10:43:51.215Z,12242.800000000047,response,images/derechos_x_2.png,"{""credibility"":""5"",""quality"":""3"",""correctness"":""5"",""interest"":""4""}",885705.3000000007,885705,873445.4,873451.9000000004,873462.2,885707.9
,html.Screen,22,2026-04-29T10:44:07.726Z,16508.599999999977,response,images/edad_x_4.png,"{""credibility"":""1"",""quality"":""1"",""correctness"":""1"",""interest"":""3""}",902216.8000000007,902216.5,885707.86,885705.3000000007,885707.9,902228.7
,html.Screen,23,2026-04-29T10:44:57.146Z,49408.60000000079,response,images/https___www_losandes_com_ar_sociedad_esi_y_riesgos_digitales_el_plan_oficial_fortalecer_estrategias_las_escuelas_mendoza_n5987124.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",951637.6000000015,951637.3000000007,902220.4,902217,902228.7,951649.4
,html.Screen,24,2026-04-29T10:45:14.725Z,17566.90000000072,response,images/gemini_1.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",969216.6000000015,969216.3000000007,951641.124,951637.6000000015,951649.4,969227.9
,html.Screen,25,2026-04-29T10:45:59.250Z,44513.300000001094,response,images/prueba.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",1013741.5,1013741.2000000011,969220.4,969216.7000000011,969227.9,1013753.5
,html.Screen,26,2026-04-29T10:46:27.079Z,27816.800000000745,response,images/https___lt3_com_ar_772830_2_.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",1041570.5,1041570.3000000007,1013745.1,1013741.6000000015,1013753.5,1041582.7
,html.Screen,27,2026-04-29T10:46:43.504Z,16412.60000000079,response,images/derechos_x_3.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",1057995.5,1057995.3000000007,1041573.7,1041570.7000000011,1041582.7,1058007.6
,html.Screen,28,2026-04-29T10:47:23.404Z,39887.80000000028,response,images/chatgpt_3.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",1097895.6000000015,1097895.4000000004,1057999.1,1057995.6000000015,1058007.6,1097907.6
,html.Screen,29,2026-04-29T10:47:33.887Z,10471.000000001397,response,images/riesgos_x_4.png,"{""credibility"":""5"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",1108378.9000000004,1108378.6000000015,1097899.2,1097895.7000000011,1097907.6,1108390.9
,html.Screen,30,2026-04-29T10:47:49.991Z,16091.900000000838,response,images/gemini_2.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",1124483.1000000015,1124482.8000000007,1108382.566,1108378.9000000004,1108390.9,1124495
,html.Screen,31,2026-04-29T10:48:04.136Z,14133.5,response,images/derechos_x_1.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",1138628.7000000011,1138628.5,1124486.8,1124483.2000000011,1124495,1138640.4
