sender,sender_type,sender_id,timestamp,duration,ended_on,image,response,time_commit,time_end,time_render,time_run,time_show,time_switch
,html.Screen,0,2026-04-30T09:09:12.911Z,140091.7,response,images/edad_x_3.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""4"",""interest"":""3""}",140901.5,140901,709.4,800.3000000715256,809.3,140908
,html.Screen,1,2026-04-30T09:10:35.247Z,82328.80000007153,response,images/chatgpt_2.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",223237.10000002384,223236.80000007153,140892.078,140902,140908,223247.7
,html.Screen,2,2026-04-30T09:12:19.022Z,103764.19999997615,response,images/https___www_pandasecurity_com_es_mediacenter_jurado_declara_meta_youtube_responsables_adiccion_.png,"{""credibility"":""2"",""quality"":""2"",""correctness"":""3"",""interest"":""4""}",327012.2000000477,327011.89999997616,223231.356,223237.30000007153,223247.7,327017.4
,html.Screen,3,2026-04-30T09:13:39.678Z,80650.80000004766,response,images/claude_1.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",407668.5,407668.2000000477,327001.564,327012.3000000715,327017.4,407673.8
,html.Screen,4,2026-04-30T09:15:32.950Z,113266.70000000001,response,images/https___www_plazanueva_com_articulo_navarra_estamos_entregando_movil_demasiado_pronto_nuestros_adolescentes_20260404091449280632_html.png,"{""credibility"":""5"",""quality"":""5"",""correctness"":""5"",""interest"":""5""}",520940.7000000477,520940.5,407657.91,407668.7000000477,407673.8,520943.28
,html.Screen,5,2026-04-30T09:16:32.854Z,59901.320000023814,response,images/gemini_3.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",580845,580844.6000000238,520943.28,520940.8000000715,520943.28,580851.6
,html.Screen,6,2026-04-30T09:17:20.806Z,47944.90000000002,response,images/riesgos_x_5.png,"{""credibility"":""3"",""quality"":""2"",""correctness"":""1"",""interest"":""3""}",628797,628796.5,580835.53,580845.2000000477,580851.6,628812.2
,html.Screen,7,2026-04-30T09:18:17.447Z,56624.80000000005,response,images/https___www_elnacional_com_2026_04_ninos_y_adolescentes_digitales_.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""3""}",685437.2000000477,685437,628795.954,628797.2000000477,628812.2,685439.162
,html.Screen,8,2026-04-30T09:18:44.559Z,27109.737999976147,response,images/edad_x_5.png,"{""credibility"":""4"",""quality"":""4"",""correctness"":""4"",""interest"":""3""}",712549.2000000477,712548.8999999762,685439.162,685437.3000000715,685439.162,712552.026
,html.Screen,9,2026-04-30T09:19:37.015Z,52452.873999976204,response,images/https___controlpublicidad_com_formacion_y_estudios_de_publicidad_algoritmos_y_su_repercusion_en_la_salud_mental_de_los_adolescentes_.png,"{""credibility"":""5"",""quality"":""5"",""correctness"":""5"",""interest"":""5""}",765005.2000000477,765004.8999999762,712552.026,712549.3999999762,712552.026,765011.6
